entry,requirement,ground_truth
001,Disable proxy ARP on the interface of R4 that connects to R1.,"R4# configure terminal
R4(config)# interface Ethernet0/0
R4(config-if)# no ip proxy-arp
R4(config-if)# end"
002,Decrease the bandwidth of R2's interface that connects to R3 to 512 Kbps.,"R2# configure terminal
R2(config)# interface Ethernet0/1
R2(config-if)# bandwidth 512
R2(config-if)# end"
003,Clear the ARP cache on R1.,R1# clear arp-cache
004,Disable OSPF process 1 on R1.,"R1# configure terminal
R1(config)# no router ospf 1
R1(config)# end"
005,Enable OSPF process 1 on R2 and advertise all its directly connected networks in area 0.,"R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# network 10.0.12.0 0.0.0.255 area 0
R2(config-router)# network 10.0.23.0 0.0.0.255 area 0
R2(config-router)# network 10.0.24.0 0.0.0.255 area 0
R2(config-router)# end"
006,Change the IP address of R3's interface connected to h2 to 10.0.2.1 with a /24 subnet mask.,"R3# configure terminal
R3(config)# interface Ethernet0/2
R3(config-if)# ip address 10.0.2.1 255.255.255.0
R3(config-if)# no shutdown
R3(config-if)# end"
007,Increase the bandwidth of R1's interface that connects to R2 to 1000 Kbps.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# bandwidth 1000
R1(config-if)# end"
008,Disable the interface on R3 that connects to R4.,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# shutdown
R3(config-if)# end"
009,Enable the interface on R4 that connects to R2.,"R4# configure terminal
R4(config)# interface Ethernet0/1
R4(config-if)# no shutdown
R4(config-if)# end"
010,Configure SW1's port connected to h1 as an access port on VLAN 10.,"SW1# configure terminal
SW1(config)# interface Fa0/1
SW1(config-if)# switchport mode access
SW1(config-if)# switchport access vlan 10
SW1(config-if)# end"
011,Configure SW1's uplink port to R1 as a trunk port.,"SW1# configure terminal
SW1(config)# interface Fa0/24
SW1(config-if)# switchport mode trunk
SW1(config-if)# end"
012,Configure SW2's port connected to h2 as an access port on VLAN 30.,"SW2# configure terminal
SW2(config)# interface Fa0/1
SW2(config-if)# switchport mode access
SW2(config-if)# switchport access vlan 30
SW2(config-if)# end"
013,Configure SW2's uplink port to R3 as a trunk port.,"SW2# configure terminal
SW2(config)# interface Fa0/24
SW2(config-if)# switchport mode trunk
SW2(config-if)# end"
014,Create VLAN 20 on SW1.,"SW1# configure terminal
SW1(config)# vlan 20
SW1(config-vlan)# name VLAN20
SW1(config-vlan)# end"
015,Create VLAN 40 on SW2.,"SW2# configure terminal
SW2(config)# vlan 40
SW2(config-vlan)# name VLAN40
SW2(config-vlan)# end"
016,Assign a description to R1's interface that connects to R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# description Link to R2
R1(config-if)# end"
017,Assign a description to R3's interface that connects to R4.,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# description Link to R4
R3(config-if)# end"
018,Configure a static default route on R1 pointing to R2.,"R1# configure terminal
R1(config)# ip route 0.0.0.0 0.0.0.0 10.0.12.2
R1(config)# end"
019,Configure a static route on R1 to reach the 10.0.2.0/24 network via R2.,"R1# configure terminal
R1(config)# ip route 10.0.2.0 255.255.255.0 10.0.12.2
R1(config)# end"
020,Configure a static route on R4 to reach the 10.0.1.0/24 network via R1.,"R4# configure terminal
R4(config)# ip route 10.0.1.0 255.255.255.0 10.0.14.1
R4(config)# end"
021,Configure a static route on R2 to reach the 10.0.14.0/24 network via R4.,"R2# configure terminal
R2(config)# ip route 10.0.14.0 255.255.255.0 10.0.24.2
R2(config)# end"
022,Configure a static route on R3 to reach the 10.0.12.0/24 network via R2.,"R3# configure terminal
R3(config)# ip route 10.0.12.0 255.255.255.0 10.0.23.1
R3(config)# end"
023,Disable proxy ARP on all interfaces of R2.,"R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# no ip proxy-arp
R2(config-if)# interface Ethernet0/1
R2(config-if)# no ip proxy-arp
R2(config-if)# interface Ethernet0/2
R2(config-if)# no ip proxy-arp
R2(config-if)# end"
024,Set the hostname of R1 to Core-R1.,"R1# configure terminal
R1(config)# hostname Core-R1
R1(config)# end"
