question,answer,ground_truth_category
How can we configure a CDP location where the PKI clients do not support SCEP GetCRL requests?,"To configure a CDP location where the PKI clients do not support SCEP GetCRL requests, follow these steps:

```
Device(config)# crypto pki server aaa
Device(cs-server)# database level minimum
Device(cs-server)# database url tftp://10.1.1.1/username1/
Device(cs-server)# issuer-name CN=aaa
Device(cs-server)# cdp-url http://server.company.com/certEnroll/aaa.crl
```

In this configuration, we are setting up a Certificate Database (CDB) with a minimum level of support for the PKI clients. The `database level` command sets the level of support to ""minimum"", which means that the CDP location will not support SCEP GetCRL requests.

Additionally, we are specifying the database URL as `tftp://10.1.1.1/username1/`, the issuer name as `CN=aaa`, and the CDP URL as `http://server.company.com/certEnroll/aaa.crl`.

This configuration ensures that the PKI clients do not support SCEP GetCRL requests, while still allowing for other certificate enrollment operations to occur.",PKI
How to configure the Cisco router to send an access request packet to the RADIUS server at IP address 192.0.2.1 for authentication?,"```
radius-server host 192.0.2.1 auth-port 1645
radius-server key YOUR_SECRET_KEY_HERE
!
username test password *
!
cisco-avpair ""client-mac-address=aabb.cc00.65""
!

radius-server vsa send
radius-server nas-ip-address 1.1.1.2
```
Note: Replace `YOUR_SECRET_KEY_HERE` with your actual RADIUS server secret key.",PKI
How can we enable OAM capabilities for discovery and advertisement of information within periodic OAM PDUs?,"To enable OAM capabilities for discovery and advertisement of information within periodic OAM PDUs, you can use the following Cisco IOS command in OAM mode (either active or passive):

```
Router(config)# oam periodic  interval <interval>
```

This command configures the periodic transmission of OAM PDUs to advertise your device's capabilities. The `<interval>` parameter specifies the time interval between consecutive OAM PDUs.

For example, to transmit OAM PDUs every 30 seconds:
```
Router(config)# oam periodic 30
```

Additionally, you can also use the `oam advertise` command to specify the capabilities that your device supports. For example:

```
Router(config)# oam advertise loopback
```

This will advertise the loopback capability of your device in the OAM PDUs.

By configuring OAM periodic transmission and advertising your device's capabilities, you can enable discovery and advertisement of information within periodic OAM PDUs.",DIAG
How can I update the protocols supported by NBAR2 (Network Based Application Recognition 2) without replacing the base IOS image on a device?,"You can use the Protocol Pack for updating protocols supported by NBAR2, which is a feature-specific software package that can be applied to your existing Cisco device's running configuration without affecting the base IOS image. To do this, you would typically use the following commands:

```
router(nbar version 2)
nbar protocol-pack <pack-name>
```

Replace `<pack-name>` with the name of the desired protocol pack (e.g., ""nbar-protocol-pack-mpeg4"").

For example:

```
router(nbar version 2)
nbar protocol-pack nbar-protocol-pack-mpeg4
```",MNG
"How do I implement Source Specific Multicast (SSM) in Cisco IOS XE Release 2.1 and later versions, including the Cisco ASR 903 Router?","To implement SSM on a Cisco IOS XE Release 2.1 or later router, you can follow these steps:

1. Configure the multicast routing instance:
```
Router(config)# ip pim sparse-mode
Router(config)# ip pim sparse-mode group {group-address}
```
For example:
```
Router(config)# ip pim sparse-mode
Router(config)# ip pim sparse-mode group 239.1.1.1
```
This enables SSM on the router and specifies the multicast group address that will use an SSM distribution tree.

2. Configure the source-specific mapping:
```
Router(config)# ip pim join-source {group-address} {source-ip}
```
For example:
```
Router(config)# ip pim join-source 239.1.1.1 192.168.1.100
```
This maps the multicast group address to a specific source IP address, ensuring that only traffic from that source is forwarded on the SSM distribution tree.

3. Verify the SSM configuration:
```
Router# show ip pim sparse-mode group {group-address}
```
For example:
```
Router# show ip pim sparse-mode group 239.1.1.1
```
This command displays the SSM configuration for the specified multicast group address, including the source IP address mapping.

By following these steps, you can implement Source Specific Multicast (SSM) on your Cisco IOS XE Release 2.1 or later router and ensure that only traffic from specific sources is forwarded on the multicast distribution tree.",DIAG
"What is the TACACS+ AAA server database configuration for user ""user1"" with password ""cisco""?","Router(config)#aaa new-model
Router(config)#username ""user1"" password ""cisco""
Router(config)#tacacs-server host <TACACS_server_IP>
Router(config)#tacacs-server key <TACACS_server_key>

Example of how this configuration would be used in a Cisco IOS configuration template:

iosconfig1:
!
aaa new-model
!
username ""user1"" password ""cisco""
!

iosconfig2:
!
tacacs-server host 10.0.0.1
!
tacacs-server key cisco_key

Please note that the above answer is an example of how this configuration would be used in a Cisco IOS configuration template, and it may not represent real-world scenarios or configurations.

Also, please remember to replace <TACACS_server_IP> and <TACACS_server_key> with your actual TACACS server IP address and key.",PKI
How can we activate the egress policy Pfrv3-Policy-Egress-0-3 for Tunnel200 and Tunnel100?,"To activate the egress policy Pfrv3-Policy-Egress-0-3 for Tunnel200 and Tunnel100, you can use the following Cisco IOS code:
```
pfrv3 policy egress 0/3
  match ip address tunnel 200
  match ip address tunnel 100
  action [insert desired action here]

commit
```
This code creates a new egress policy using the PFRv3 protocol, matching IP addresses on Tunnel200 and Tunnel100. You can customize the `action` parameter to specify the desired behavior for traffic matched by this policy.

Note: This is just an example code snippet and you should adjust it according to your specific network configuration and requirements.",TN
How can you exit the interface configuration mode and return to global configuration mode?,"To exit the interface configuration mode and return to global configuration mode, use the command ""exit"" as shown below:

Router(config-if)# exit
Router(config)#

This will take you back to the global configuration mode where you can make changes to the device's settings or configure interfaces again.",INF
How can we disable network packet translation on the outside host?,"To disable network packet translation on the outside host, you can use the following command in your Cisco router's configuration:
```
access-list OUTSIDE extended permit tcp 10.1.1.1 20000 192.168.1.1 20000 no-payload
```
This command is based on the provided configuration and uses the `no-payload` option to disable network packet translation on the outside host.",ACL
How do you configure a subinterface in a VLAN with encapsulation dot1q and vlan-id?,"To configure a subinterface in a VLAN with encapsulation dot1q and vlan-id, use the following command:
```
interface <subinterface>
encapsulation dot1q vlan <vlan-id> [<vlan-id>-<vlan-id>], [native]
```
For example:
```
interface FastEthernet0.10
  encapsulation dot1q vlan 200, 300 native
```
This configuration sets the subinterface (FastEthernet0.10) to use dot1q encapsulation with VLAN IDs 200 and 300, and also allows for native frames to be sent without VLAN tagging.",INF
