id,question,answer,ground_truth_category
1094,How do I enable Ethernet CFM AIS link status globally?,,MONITORING
3924,How can we configure BFD (Bidirectional Forwarding Detection) for an OSPF network?,,ROUTING
2928,How do you configure a flow class for Cisco Performance Monitor?,,MONITORING
1810,How can you configure the Login Password Retry Lockout feature to lock out a local AAA user account after a certain number of unsuccessful login attempts?,,SECURITY
2697,How do you configure aggressive aging for per-VRF inspection in Cisco IOS?,,SECURITY
3141,How do you enter privileged EXEC mode on a Cisco router?,,GENERAL
1917,What is the command to configure the device as a hub-master controller in Data Center 1 (DC1)?,,GENERAL
1515,How can we configure a larger retention interval for retries in Cisco IOS?,,GENERAL
740,How do you configure Zero Touch Auto-IP functionality on devices in a ring network?,,CONNECTIVITY
2259,How do you remove the secondary configuration elements from the running configuration?,,GENERAL
1279,How can you exit the global configuration mode and return to privileged EXEC mode?,,GENERAL
884,What is the NID Support feature on Cisco ISR 4K Series Integrated Services Routers?,,GENERAL
2383,What is the correct command to set up an IPsec VPN with the specified configurations and parameters?,,SECURITY
311,What is the configuration required to ensure that CallManager Express can be colocated with CallManager on the same device?,,GENERAL
1337,How can we configure a Cisco router to join multicast traffic towards an AMT relay when the mroute shows incoming interface as Tunnel and when joined?,,ROUTING
1787,What are the steps to configure a RADIUS server with an AAA server group and associate private servers?,,SECURITY
1993,How can we configure the application SaaS to connect to the Servicenow domain?,,CONNECTIVITY
4428,How do you define traffic classes for Quality of Service (QoS) in an IPv6 environment?,,QOS
774,What are the configured Ethernet OAM link-monitor frame-period and frame-seconds parameters?,,MONITORING
3537,How can you implement a hierarchical policy for GigabitEthernet1/0/0 to manage traffic based on class-maps and service policies?,,QOS
143,"What is the configuration command to enable On-Demand IP SLAs operations for Ethernet SLM domain xxx with VLAN 10, MPI D 3, COs 1, source MPI 1, continuous aggregation of 35, and duration of 38?",,MONITORING
3527,How can you implement an interface scheduling mechanism to maintain distinct buffers and queues for priority and bandwidth traffic while minimizing jitter for latency sensitive traffic?,,QOS
3869,What is the correct Cisco IOS command to update the SAF peering site prefix at 10.20.1.1 with the given prefixes?,,ROUTING
4056,How can I enable MQC (Match-All) based on transport hierarchy and configure the necessary protocols and class maps for an in-app-hierarchy?,,QOS
358,How can you configure a redundant traffic interface on a GigabitEthernet interface to ensure high availability of network connections?,,CONNECTIVITY
882,Question: How can you apply an IP access list to an interface in Cisco IOS?,,SECURITY
733,How can you configure the auto-IP address on node interfaces for inclusion in an Auto-IP ring?,,CONNECTIVITY
3180,"What commands are needed to redistribute connected and static routes for VRFs cust1 and cust2, and originate default information?",,ROUTING
4542,"What is the correct syntax to apply a service policy to an interface using the ""policy-map"" command?",,QOS
1805,"To stay updated with the latest information about Cisco products and services, what are some recommended subscriptions that I can access from the Cisco Support website?",,GENERAL
1297,What is the Router-ID of the OSPF instance configured on the Downstream-router?,,ROUTING
686,How to execute Cisco IOS XE CLI EXEC mode commands from a Tcl script?,,GENERAL
116,How do you schedule an IP SLA operation to run every day at 8am for the next week?,,MONITORING
4285,How can we ensure reliable delivery of syslog messages to a remote server?,,MONITORING
1406,How can you enable IPv6 PIM Passive mode on the Cisco IOS XE platform?,,ROUTING
28,"What is the purpose of the ""ip sla responder"" command in Cisco IOS?",,MONITORING
3450,"What are the traffic priorities and rate limiting configurations for the ""voice"" class in the ""simple-example"" policy-map?",,QOS
3078,How can we ensure that NHSs from different data centers are always connected to each other?,,CONNECTIVITY
4040,How can we enable protocol discovery on the Cisco router?,,MONITORING
3477,How does the Cisco router schedule packets in a network environment to ensure fairness between queues with minimum guarantees?,,QOS
713,What is the primary function of the device when configured with the given requirement and configuration?,,GENERAL
1272,What is the minimum set of commands needed to enter the global configuration mode in Cisco IOS?,,GENERAL
1664,"** How can we enable fallback methods for authentication, authorization, or accounting in a Cisco router?",,SECURITY
3755,"What is the correct configuration to configure an interface with encapsulation dot1Q 100, IP address 10.1.10.1, and a subnet mask of 255.255.255.0 on GigabitEthernet5.100?",,CONNECTIVITY
695,How can you specify the format in which netmasks appear for the current session?,,GENERAL
1983,"How can I enable NAT on a router that has DCA enabled or other devices in the path, while also configuring a firewall to control traffic?",,SECURITY
112,How can you set the timeout for an IP SLAs Ethernet operation to 10 seconds?,,MONITORING
1491,What is the configuration used to define the route-target extended community for a VRF?,,ROUTING
1770,How do I enable privileged EXEC mode and display RADIUS servers configured in the global configuration mode?,,SECURITY
742,What IP address range would you allocate for the Auto-IP ring and how would you configure one port as the seed port in the Auto-IP ring?,,CONNECTIVITY
230,"How can we schedule multiple operations within the 5-second schedule period for Operation Group 3, considering the frequency of one operation every 0.5 seconds?",,GENERAL
3719,How can you configure the prefix-list containing a list of site prefixes on a device?,,ROUTING
1501,How can you enable the Inter-Switch Link (ISL) for VLAN subinterfaces and set primary or secondary IP addresses for interfaces?,,CONNECTIVITY
678,"How can we establish a tunnel between the source IP address 9.1.90.97 and the destination IP address 9.1.89.97, specifying the key as 5 and UDLR settings for sending only data over GigabitEthernet2/3/0 while also enabling address resolution?",,CONNECTIVITY
4193,How can we configure Cisco IOS keepalives or DPD features for stateless failover with multiple peers in the crypto map?,,SECURITY
4538,What are the different types of actions that can be specified in a police enhancement configuration to mark packets?,,QOS
563, How can we dynamically translate multicast addresses using Cisco IOS?,,ROUTING
1562,What is the recommended syntax to configure the interpacket delay in milliseconds?,,QOS
2858,What is the command used to enter interface configuration mode?,,GENERAL
4230,How can I enable image support for Cisco routers?,,GENERAL
2353,How do you enable privileged EXEC mode and configure IKE authentication using a crypto keyring and preshared key in Cisco router?,,SECURITY
1936,How can we ensure that Site IDs are unique for each site?,,GENERAL
1024,What is the recommended configuration for enabling mLACP feature with LACP state machine for a dual-homed topology in compliance with IEEE 802.3ad standard?,,CONNECTIVITY
2256,How can we enable privileges and grant access to the USB token for recovery scenarios?,,SECURITY
117,How can we configure the IP SLA Ethernet-Monitor to detect three consecutive connection loss events and send an SNMP trap notification?,,MONITORING
1822,How can we configure the point-to-point interface to reset immediately after an authentication failure or within a specified number of authentication retries?,,SECURITY
4540,What happens to packets destined to the control plane when an input QoS policy map is configured on the Cisco ASR 1K Series Router?,,QOS
3444,How can we handle service-not-available events for ISDN modem calls coming in over an ISDN connection?,,CONNECTIVITY
888,How can I enable debugging for configuration-related issues in my Cisco router?,,MONITORING
4135,How can we configure the RADIUS attribute 8 Framed-IP-Address in Access Requests on a Cisco router?,,SECURITY
1041,How do I return to privileged EXEC mode from the current CLI mode?,,GENERAL
2779,How can I configure firewall session table protection for a VRF (Virtual Routing and Forwarding) domain?,,SECURITY
4245,How can we enable PGM Router Assist on a vif interface?,,ROUTING
3689,What would be the default queue-limits for an interface if it is shaped to 100 Mbps?,,QOS
463,How can we enable connectivity between IPv4 and IPv6 hosts when implementing stateless NAT?,,CONNECTIVITY
758,What is the purpose of putting the remote peer into loopback mode during installation or troubleshooting?,,CONNECTIVITY
394,How do you configure outside dynamic NAT with MPLS VPNs?,,ROUTING
827,How can I return to the global configuration mode from the current mode?,,GENERAL
2296,How can we configure the device to include EKU attributes in the PKI server?,,SECURITY
2304,What is the recommended encryption method to ensure secure communication when configuring a Cisco router?,,SECURITY
3750,How can you configure a Gigabit Ethernet interface with a specific IP subnet and set the speed and negotiation settings?,,CONNECTIVITY
2090,How do you configure the certificate map and trustpoint for VPN-GW on the central site router?,,SECURITY
3169,What is the subnet mask for the directly connected network on Ethernet1/0?,,CONNECTIVITY
907,How do you configure a port channel and set the channel group mode?,,CONNECTIVITY
988,How do EVC and UNI attributes get communicated to a CE device?,,CONNECTIVITY
3449,What is the purpose of this configuration?,,GENERAL
3432,How can we configure the access server to dial out with IP protocol?,,CONNECTIVITY
234,How can you configure a group schedule in global configuration mode with uniformly distributed random frequencies within a specified range to ensure that no operation is scheduled more than once within the period?,,GENERAL
601,How can I customize IGMP settings to support IGMP proxy on the downstream UDL device?,,ROUTING
1587,What commands can you use to configure AAA security services for login authentication methods?,,SECURITY
1241,What happens when a PIM designated router registers a source with its RP?,,ROUTING
4279,How can you enable global configuration mode and enable system message logging to a local buffer with severity-based limits in Cisco IOS?,,MONITORING
4365,How can I display the configuration of a specific policy map or all existing policy maps?,,QOS
2969,How can we extract metrics information and configure it for Assurance Monitoring in DNA Center to track the total number of responses sent by the server?,,MONITORING
4564,How can we ensure that certain types of network traffic are given priority over others when entering the network?,,QOS
737,How can you configure Auto-IP functionality on node interfaces to include them in an Auto-IP Ring?,,CONNECTIVITY
1080,How do we configure the port channel on the active and standby PoA for Pseudo mLACP?,,CONNECTIVITY
2011,How can we configure prefix updates for multiple IP addresses from a specific source address in Cisco IOS?,,ROUTING
2021,What is the recommended configuration for supporting multiple CAs in our PKI infrastructure?,,SECURITY
1651,"How can you configure RADIUS authentication and authorization on Cisco IOS XE software to provide login, PPP, EXEC, and network authorization?",,SECURITY
4436,What command is used to specify the relative weight of a subinterface or queue with respect to other subinterfaces or queues during congestion?,,QOS
3081,What is the minimum number of connections required to form a tunnel between each cluster and the spoke in the given configuration?,,CONNECTIVITY
1258,How can we configure the device to filter incoming SA messages based on their origin?,,SECURITY
192,How can you configure the Type of Service (ToS) byte in the IP header of an IP SLAs operation?,,QOS
3181,"How can we enable 6VPE support in MPLS over DMVPN phase 2 for the hub by configuring VRF, Tunnel, IPsec Tunnel Protection, WAN Facing Interface, Transport Routing, and Overlay Routing?",,ROUTING
913,How can we prioritize LACP (Link Aggregation Control Protocol) in a Cisco router?,,CONNECTIVITY
4141,What is the role of an L2TP Access Concentrator (LAC) in setting up tunnels with the customer tunnel server?,,CONNECTIVITY
2258,"How can you enable the ""secondary"" Crypto PKI token with a PIN?",,SECURITY
834,How can I enable Ethernet Connectivity Fault Management (CFM) with IEEE 802.1ag Standard on my device?,,CONNECTIVITY
3859,How can I display PfRv3 event tracing for all components (sub-components) in Cisco IOS?,,MONITORING
1520,How can I configure Cisco router to support all Cisco implemented MIBs for error reporting and statistics during data collection and transfer?,,MONITORING
743,How do you enable LLDP on all Auto-IP ring ports before configuring Auto-IP?,,CONNECTIVITY
783,How can service providers leverage Cisco's networking solutions to gain a competitive advantage in their market?,,GENERAL
2615,"What configuration options are required to configure VRF ""vrf-cust1"" on GigabitEthernet interface 0/2/3 for multicast routing?",,ROUTING
1564,How can you configure a router to use the IP-RIP Delay Start feature on a Frame Relay interface?,,ROUTING
2262,How can we configure the router to copy files from a USB token to the device?,,GENERAL
4248,What is the configuration for the IP PGM Host feature on this PGM Host with physical interfaces?,,ROUTING
1055,What are the steps to enter global configuration mode and configure a Layer 2 Virtual Routing and Forwarding (VRF) instance with specific details?,,ROUTING
3025,How can we enable replay detection for our Cisco device?,,SECURITY
3191,How do you define a port-channel before configuring it to prevent errors?,,CONNECTIVITY
1042,How do you configure a port channel and its interface?,,CONNECTIVITY
755,How can we enable OAM capabilities for discovery and advertisement of information within periodic OAM PDUs?,,MONITORING
535,"What is the primary function of an Application-Level Gateway (ALG) supported by Firewall and Network Address Translation (NAT), considering the given configuration?",,SECURITY
193,What is the command used to enable privileged EXEC mode on a Cisco router?,,GENERAL
2986,How can I configure memory reservation for critical notifications to prevent the router from being overwhelmed when it's processing heavy loads?,,GENERAL
1773,What is the purpose of the Dynamic Per VRF AAA feature in Cisco IOS XE Release 2.4 and later releases?,,SECURITY
3752,What IP address and subnet mask have been configured for interface GigabitEthernet3?,,CONNECTIVITY
156,"How can you measure the round-trip time (RTT) between a Cisco device and an HTTP server for DNS lookup, TCP connection, and HTTP transaction to retrieve a web page?",,MONITORING
2066,How can we configure the enrollment URL and PEM file for a Cisco router to enable automatic enrollment in a Certificate Authority?,,SECURITY
427,How can you exit the interface configuration mode and enter the global configuration mode?,,GENERAL
2177,What is the command to direct the TTI registrar to use a custom start page template?,,GENERAL
2571,How to configure Asymmetric Routing with Redundant Interface Identifier (RII) on both active and standby devices?,,ROUTING
3126,How can you configure an NHRP Group to be mapped to a QoS Policy on the Hub?,,QOS
