id,question,ollama,openai,match
0,How can we monitor and store download time within the Cisco device and configure IP and application layer options for optimal performance?,MONITORING,MONITORING,True
1,How can we ensure a network with broader reach and accurate representation of end-user experience while maintaining ease of deployment?,GENERAL,MONITORING,False
2,"How can you ensure that IP SLAs measurements are continuous, reliable, and predictable?",MONITORING,MONITORING,True
3,How do I configure the IP Service Level Agreement (SLA) feature on an ASR 920 platform to measure network performance?,MONITORING,MONITORING,True
4,How do I enable the IP SLAs Responder on my Cisco device?,MONITORING,MONITORING,True
5,How can I configure an IP SLAs Responder to listen on a specific port for control protocol messages sent by an IP SLAs operation?,MONITORING,MONITORING,True
6,What is the recommended configuration to minimize processing delays for accurate response times when using IP SLAs test packets and time stamping?,QOS,MONITORING,False
7,How can we improve the accuracy of network activity tests in our Cisco device?,MONITORING,MONITORING,True
8,How can we configure the Cisco router to send SNMP traps when the round-trip time (RTT) threshold is exceeded?,MONITORING,MONITORING,True
9,Can we configure IP SLAs to maintain two hours of aggregated statistics for each operation and also allow the Enhanced History feature with a shorter aggregation interval than an hour?,MONITORING,MONITORING,True
10,How can I configure IP SLAs to maintain a snapshot of data for each operation instance that matches a specific filter?,MONITORING,MONITORING,True
11,What is the recommended speech codec for Complexity 8 kbit/s CS-ACELP transmission in accordance with ITU-T G.729A standard?,GENERAL,QOS,False
12,What is the purpose of configuring IP SLAs UDP Jitter Operations in a network that carries UDP traffic?,MONITORING,MONITORING,True
13,What happens to one-way delay measurements when time synchronization is not required for one-way jitter and packet loss measurements in Cisco IOS?,MONITORING,MONITORING,True
14,"How can we measure positive and negative jitter values for delay-sensitive networks like VoIP, with an ideal jitter value of 0 ms?",MONITORING,MONITORING,True
15,How can we configure asymmetric UDP jitter operation to monitor round-trip delay in a network with customizable packet sizes per direction?,MONITORING,MONITORING,True
16,What are the UDP Jitter Operation Parameters configured to simulate IP service?,QOS,MONITORING,False
17,How do you enable IP SLAs responder functionality on a Cisco device?,MONITORING,MONITORING,True
18,How do you configure a basic UDP jitter operation on a source device?,MONITORING,MONITORING,True
19,What is the frequency at which the IP SLA operation will run in seconds?,MONITORING,MONITORING,True
20,How to enable and configure IP SLAs Responder on the target device for UDP jitter operation?,MONITORING,MONITORING,True
21,How many hours of statistics are maintained for an IP SLA jitter operation when the frequency is set to 30?,MONITORING,MONITORING,True
22,How can we configure IP SLAs to monitor network statistics for TelnetPollServer1 with a threshold value of 10 seconds?,MONITORING,MONITORING,True
23,How can I configure the percentile option for IP SLAs operations?,MONITORING,MONITORING,True
24,How can you configure the scheduling parameters for an individual IP SLAs operation to run indefinitely?,MONITORING,MONITORING,True
25,What is the schedule period for IP SLAs group schedule 10?,MONITORING,MONITORING,True
26,How can we configure proactive threshold conditions to trigger traps when an IP Service Level Agreement (SLA) operation exceeds the defined threshold?,MONITORING,MONITORING,True
27,How do we configure the UDP Jitter test in IP SLAs to monitor performance from host 192.0.2.115 at port 65052 with 20 packets sent every 10 seconds?,MONITORING,MONITORING,True
28,"What is the purpose of the ""ip sla responder"" command in Cisco IOS?",MONITORING,MONITORING,True
29,What is the expected output of UDP jitter operation with one-way delay measurements in our network configuration?,MONITORING,MONITORING,True
