requirement,model_answer,completion_action,model_answer_completed,model_raw_output
Configure the network interface to use Ethernet encapsulation connected to a Eheternet 802.3 network. Ensure that the interface is set to the Ethernet encapsulation type and that it is properly assigned an IP address and subnet mask consistent with Ethernet standards.,"    ~~~device_name~~~~
    interface Ethernet0/0
     encapsulation dot1q 10
     ip address 192.168.1.100 255.25",COMPLETED,"interface Ethernet0/0
 encapsulation dot1q 1
 ip address 192.168.1.100 255.255.255.0","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""interface Ethernet0/0\n encapsulation dot1q 1\n ip address 192.168.1.100 255.255.255.0""
}"
Configure the network interface for Frame Relay encapsulation. Set up a Frame Relay subnetwork with one physical link and multiple virtual circuits (VCs). Assign a Data-Link Connection Identifier (DLCI) to each VC within the frame's address field.,"   ~~~router1~~~~
    interface serial 0/0
    encapsulation frame-relay
    frame-relay lmi-keepalive
    frame-relay map 100 10.1.1.1 100
    frame-relay map 200 10.1.2.1 200
    frame-relay map 300",COMPLETED,"~~~router1~~~~
    interface serial 0/0
    encapsulation frame-relay
    frame-relay lmi-keepalive
    frame-relay map 100 10.1.1.1 100
    frame-relay map 200 10.1.2.1 200
    frame-relay map 300 10.1.3.1 300","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""   ~~~router1~~~~\n    interface serial 0/0\n    encapsulation frame-relay\n    frame-relay lmi-keepalive\n    frame-relay map 100 10.1.1.1 100\n    frame-relay map 200 10.1.2.1 200\n    frame-relay map 300 10.1.3.1 300""
}"
"Configure the network interface to use SNAP encapsulation. Ensure that the interface is set to SNAP encapsulation and is properly configured for operation on either FDDI or Token Ring networks, as specified.","   ```
    interface FastEthernet0/0
     encapsulation snap
     snap-encapsulation fddi
     snap-encapsulation tr
    ```",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": """"
}"
Configure static ARP entries on the network device to permanently map IP addresses to MAC addresses in the ARP cache.,"   ```cisco
    Router(config)# ip arp static 192.168.1.100 00:11:22:33:44:55
    Router(config)# ip arp static 192.168.1.101 00:22:33:44:55:66
    ...
    ```",NO_CODE,NO_CODE,"{
  ""action"": ""NO_CODE"",
  ""completed_answer"": """"
}"
Globally disable proxy ARP,"    ~~~device1~~~~
    no ip proxy-arp
    ~~~device2~~~~
    no ip proxy-arp
    �",COMPLETED,no ip proxy-arp,"{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""no ip proxy-arp""
}"
Disabling Proxy ARP on interface gigabit1/0/1,"    ```cisco
    ~~~gigabit1/0/1~~~
    no ip proxy-arp
    point-to-point
    ```",COMPLETED,"interface GigabitEthernet1/0/1
    no ip proxy-arp
    point-to-point","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    ```cisco\n    interface GigabitEthernet1/0/1\n    no ip proxy-arp\n    point-to-point\n    ```""
}"
clear the Address Resolution Protocol (ARP) cache of entries associated with Interface gigabitethernet1/0,"   ```cisco
    ~~~gigabitethernet1/0/1~~~~
    arp timeout 120
    arp cache clear
    ```",COMPLETED,"interface gigabitethernet1/0
   no arp cache","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""   \n   interface gigabitethernet1/0\n   no arp cache\n""
}"
Disable OSPF on Router1,"    ```
    Router1# configure terminal
    Router1(config)# no router ospf 1
    Router1(config)# interface FastEthernet0/0
    Router1(config-if)# ip address 192.168.1.1 255.255.255.0
    Router1(config-if)# no ip redirects
    Router1(config-if)# ip ospf 1 area 0
    Router1(config-if)# exit
    R",COMPLETED,"Router1# configure terminal
Router1(config)# no router ospf 1
Router1(config)# interface FastEthernet0/0
Router1(config-if)# ip address 192.168.1.1 255.255.255.0
Router1(config-if)# no ip redirects
Router1(config-if)# ip ospf 1 area 0
Router1(config-if)# exit
Router1(config)#","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1# configure terminal\nRouter1(config)# no router ospf 1\nRouter1(config)# interface FastEthernet0/0\nRouter1(config-if)# ip address 192.168.1.1 255.255.255.0\nRouter1(config-if)# no ip redirects\nRouter1(config-if)# ip ospf 1 area 0\nRouter1(config-if)# exit\nRouter1(config)#""
}"
Enable OSPF on Router2,"    ### Cisco IOS Configuration:
    ```
    Router2# configure terminal
    Router2(config)# router ospf 1
    Router2(config-router)# network 192.168.1.0 0.0.0.255 area 0
    Router2(config-router)# priority 110
    Router2(config-router)# exit
    Router2(config)# interface FastEthernet0/0
    Router2(config-if)# ip address 192.168.1.1",COMPLETED,"Router2# configure terminal
Router2(config)# router ospf 1
Router2(config-router)# network 192.168.1.0 0.0.0.255 area 0
Router2(config-router)# priority 110
Router2(config-router)# exit
Router2(config)# interface FastEthernet0/0
Router2(config-if)# ip address 192.168.1.1 255.255.255.0
Router2(config-if)# no shutdown
Router2(config-if)# exit","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""```\nRouter2# configure terminal\nRouter2(config)# router ospf 1\nRouter2(config-router)# network 192.168.1.0 0.0.0.255 area 0\nRouter2(config-router)# priority 110\nRouter2(config-router)# exit\nRouter2(config)# interface FastEthernet0/0\nRouter2(config-if)# ip address 192.168.1.1 255.255.255.0\nRouter2(config-if)# no shutdown\nRouter2(config-if)# exit\n```""
}"
Change the IP address of Router3 LAN interface to a new subnet,"    ~~~Router3~~~~
    interface FastEthernet0/0
    ip address 192.168.1.1 255.255.255.0
    hub",COMPLETED,"~~~Router3~~~~
    interface Ethernet0/2
    ip address 192.168.2.1 255.255.255.0
    hub","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""    ~~~Router3~~~~\n    interface Ethernet0/2\n    ip address 192.168.2.1 255.255.255.0\n    hub""
}"
Increase the bandwidth of Router1's WAN interface to accommodate more traffic,"    ```
    Router1# configure terminal
    Router1(config)# interface fastethernet 0/0
    Router1(config-if)# bandwidth 10000
    Router1(config-if)# exit
    Router1(config)#
    ```",COMPLETED,"Router1# configure terminal
Router1(config)# interface fastethernet 0/0
Router1(config-if)# bandwidth 10000
Router1(config-if)# exit
Router1(config)## Interface Ethernet0/0 is not a FastEthernet interface. Correcting to Ethernet0/0.
Router1(config)# interface ethernet 0/0
Router1(config-if)# bandwidth 10000
Router1(config-if)# exit
Router1(config)#","{
  ""action"": ""COMPLETED"",
  ""completed_answer"": ""Router1# configure terminal\nRouter1(config)# interface fastethernet 0/0\nRouter1(config-if)# bandwidth 10000\nRouter1(config-if)# exit\nRouter1(config)## Interface Ethernet0/0 is not a FastEthernet interface. Correcting to Ethernet0/0.\nRouter1(config)# interface ethernet 0/0\nRouter1(config-if)# bandwidth 10000\nRouter1(config-if)# exit\nRouter1(config)#""
}"
